net,length_um
_0573_,12.26µm
_1682_,12.26µm
_1825_,12.26µm
tA\[2\],12.26µm
_0585_,12.235µm
tC\[2\],12.23µm
_1429_,12.22µm
_1144_,12.2µm
_1773_,12.2µm
vB[5],12.17µm
tB\[10\],12.16µm
vC[13],12.16µm
_0181_,12.14µm
_1657_,12.14µm
_0228_,12.12µm
_1751_,12.12µm
_0991_,12.08µm
_1859_,12.06µm
_1870_,12.05µm
_0473_,12.04µm
_1596_,12.04µm
_0420_,12.02µm
_0919_,12µm
_1790_,12µm
vC[5],11.97µm
_0655_,11.96µm
_1545_,11.96µm
state\[1\],11.96µm
_1661_,11.92µm
_1733_,11.895µm
_0417_,11.88µm
_0654_,11.88µm
_0699_,11.88µm
_1616_,11.88µm
_0290_,11.86µm
_0542_,11.855µm
_0126_,11.84µm
_1009_,11.84µm
net74,11.84µm
_1791_,11.82µm
_0098_,11.78µm
_0225_,11.78µm
_0356_,11.78µm
_1744_,11.76µm
_1019_,11.74µm
_1290_,11.74µm
vA[7],11.73µm
_0784_,11.72µm
_0887_,11.72µm
_1892_,11.72µm
_1178_,11.7µm
tA\[10\],11.7µm
tC\[10\],11.7µm
_0498_,11.68µm
_0511_,11.68µm
_0921_,11.68µm
_1663_,11.675µm
_0583_,11.66µm
_1689_,11.66µm
tB\[7\],11.66µm
_1233_,11.62µm
_1062_,11.55µm
_0619_,11.54µm
_0824_,11.54µm
_0827_,11.54µm
_1008_,11.54µm
_0250_,11.52µm
_0293_,11.5µm
_1522_,11.5µm
_0301_,11.46µm
_0380_,11.46µm
_0730_,11.46µm
_1006_,11.44µm
_0505_,11.39µm
_0200_,11.38µm
_0579_,11.355µm
_0616_,11.34µm
_1529_,11.34µm
_0119_,11.32µm
_0928_,11.32µm
_0767_,11.31µm
_0763_,11.3µm
_0427_,11.28µm
vC[7],11.25µm
_1767_,11.22µm
_0361_,11.2µm
_0934_,11.2µm
_1114_,11.2µm
_1170_,11.2µm
_1035_,11.18µm
_1187_,11.18µm
_1323_,11.18µm
_1399_,11.18µm
_0990_,11.16µm
_1066_,11.16µm
vA[8],11.15µm
_1775_,11.14µm
_1357_,11.12µm
_0334_,11.1µm
_0645_,11.1µm
_0696_,11.08µm
_1572_,11.08µm
_1895_,11.08µm
_0626_,11.075µm
_0790_,11.06µm
_1490_,11.06µm
_0970_,11.05µm
_1515_,11µm
periodTop[8],11µm
_1360_,10.98µm
_0189_,10.96µm
_0472_,10.96µm
_0532_,10.96µm
_1045_,10.96µm
net191,10.86µm
_0499_,10.86µm
_1363_,10.86µm
_0525_,10.84µm
_1289_,10.84µm
_1314_,10.84µm
_1820_,10.84µm
_0685_,10.76µm
_1030_,10.74µm
net72,10.74µm
vB[8],10.73µm
_0708_,10.72µm
_0243_,10.7µm
_0379_,10.7µm
_0873_,10.7µm
_1462_,10.7µm
_1693_,10.7µm
_1624_,10.695µm
_0828_,10.68µm
net28,10.68µm
_0466_,10.66µm
_1754_,10.66µm
vC[12],10.66µm
net268,10.66µm
_0249_,10.64µm
_0704_,10.64µm
_0599_,10.62µm
_0825_,10.62µm
_1844_,10.62µm
_0217_,10.6µm
_1147_,10.59µm
_0340_,10.58µm
_0188_,10.55µm
_0581_,10.54µm
_1509_,10.54µm
_0367_,10.52µm
_1668_,10.52µm
_0251_,10.515µm
_0227_,10.5µm
_1049_,10.5µm
state\[3\],10.5µm
tB\[11\],10.5µm
_1538_,10.48µm
_1899_,10.475µm
_0633_,10.46µm
_1107_,10.44µm
_0966_,10.42µm
_1683_,10.42µm
_1699_,10.42µm
_0886_,10.4µm
_1145_,10.39µm
_0156_,10.38µm
_1524_,10.38µm
_1667_,10.38µm
_0778_,10.36µm
_1056_,10.36µm
_0465_,10.34µm
_0788_,10.32µm
_0550_,10.315µm
_1884_,10.29µm
_0387_,10.28µm
_0442_,10.28µm
_0529_,10.28µm
_0770_,10.28µm
_0951_,10.28µm
_1855_,10.28µm
_1502_,10.26µm
_1415_,10.24µm
_0674_,10.23µm
_0208_,10.22µm
_1374_,10.22µm
_0513_,10.2µm
_1306_,10.2µm
_0602_,10.18µm
_1163_,10.18µm
_0771_,10.16µm
_1557_,10.16µm
_0703_,10.14µm
_1443_,10.14µm
_1436_,10.1µm
vB[12],10.1µm
net10,10.1µm
_0624_,10.08µm
_0206_,10.06µm
_1400_,10.06µm
_1829_,10.06µm
vA[1],10.05µm
_0543_,10.04µm
_1292_,10.04µm
_1335_,10.04µm
_1623_,10.04µm
_1800_,10.02µm
_1539_,10µm
_1559_,10µm
_0521_,9.98µm
_0737_,9.965µm
_0214_,9.96µm
_0562_,9.96µm
_0664_,9.96µm
_0537_,9.94µm
_0791_,9.94µm
_1788_,9.94µm
_0366_,9.92µm
_1285_,9.92µm
_1381_,9.92µm
_1428_,9.92µm
_1467_,9.9µm
_0230_,9.88µm
_0412_,9.88µm
_1279_,9.88µm
_1868_,9.88µm
_1379_,9.86µm
_0229_,9.84µm
_0514_,9.84µm
_0653_,9.84µm
_1068_,9.84µm
_1296_,9.84µm
_1482_,9.84µm
_0705_,9.82µm
_1544_,9.82µm
_1570_,9.82µm
_0554_,9.8µm
_0709_,9.8µm
_1059_,9.8µm
_1741_,9.8µm
_0765_,9.78µm
_1625_,9.78µm
_0725_,9.74µm
tA\[0\],9.74µm
