net,length_um
_2121_,10.48µm
_0316_,10.42µm
_0647_,10.42µm
_0676_,10.42µm
_1049_,10.42µm
_2153_,10.42µm
_0331_,10.4µm
_0952_,10.4µm
_0966_,10.4µm
_1114_,10.4µm
_0251_,10.38µm
_0689_,10.38µm
net324,10.36µm
_1035_,10.33µm
cos[10],10.32µm
cos[9],10.32µm
_1021_,10.3µm
_0723_,10.29µm
_0569_,10.28µm
_0690_,10.28µm
_0757_,10.28µm
_0963_,10.28µm
_1183_,10.26µm
_1055_,10.25µm
_1555_,10.22µm
_1108_,10.21µm
_0280_,10.18µm
_0310_,10.18µm
_1200_,10.16µm
_1332_,10.16µm
_1558_,10.16µm
_1930_,10.14µm
